"name","country.etc","long","lat"
"Guilherand-Granges","France",4.85,44.94
"Guillena","Spain",-6.05,37.53
"Guimaraes","Portugal",-8.3,41.44
"Guipavas","France",-4.4,48.43
"Guisborough","UK",-1.15,54.53
"Guiseley-Yeadon","UK",-1.72,53.88
"Gujan-Mestras","France",-1.07,44.64
"Gukovo","Russia",39.94,48.06
"Gulbene","Latvia",26.75,57.18
"Guljanci","Bulgaria",24.7,43.65
"Gulkevichi","Russia",40.71,45.36
"Gullhaug","Norway",10.25,59.5
"Gulpilhares","Portugal",-8.64,41.08
"Gulripshi","Georgia",41.1,42.93
"Gummersbach","Germany",7.57,51.04
"Gundinci","Croatia",18.49,45.16
"Gundsomagle","Denmark",12.17,55.73
"Gunja","Croatia",18.85,44.88
"Guntramsdorf","Austria",16.33,48.07
"Gunzburg","Germany",10.28,48.46
"Gunzenhausen","Germany",10.76,49.12
"Gunzgen","Switzerland",7.82,47.32
"Gunzwil","Switzerland",8.18,47.22
"Gura Humorului","Romania",25.9,47.56
"Gura Ocnitei","Romania",25.58,44.93
"Gura Sutii","Romania",25.52,44.75
"Gura Vaii","Romania",26.73,46.33
"Gura Vitioarei","Romania",26.02,45.13
"Gurgan","Azerbaijan",50.33,40.4
"Gurghiu","Romania",24.85,46.77
"Gurjaani","Georgia",45.8,41.75
"Gurkovo","Bulgaria",25.79,42.66
"Gurupi","Brazil",-49.06,-11.72
"Guryevsk","Russia",85.94,54.29
"Gus-Khrustalnyy","Russia",40.67,55.62
"Gusev","Russia",22.2,54.59
"Gusinoozyorsk","Russia",106.5,51.28
"Guspini","Italy",8.62,39.55
"Gussago","Italy",10.15,45.6
"Gustrow","Germany",12.18,53.8
"Gutersloh","Germany",8.37,51.91
"Guyancourt","France",2.06,48.77
"Guyguqey","Russia",37.32,44.89
"Guzdak","Azerbaijan",49.68,40.37
"Gvardeysk","Russia",21.07,54.65
"Gvarv","Norway",9.15,59.38
"Gvozd","Croatia",15.88,45.35
"Gyal","Hungary",19.21,47.38
"Gyenesdias","Hungary",17.28,46.77
"Gyomaendrod","Hungary",20.83,46.94
"Gyomro","Hungary",19.4,47.42
"Gyongyos","Hungary",19.92,47.78
"Gyongyoshalasz","Hungary",19.92,47.76
"Gyongyospata","Hungary",19.8,47.82
"Gyongyossolymos","Hungary",19.93,47.82
"Gyongyostarjan","Hungary",19.87,47.8
"Gyonk","Hungary",18.48,46.55
"Gyor","Hungary",17.64,47.69
"Gyorszemere","Hungary",17.55,47.55
"Gyorujbarat","Hungary",17.65,47.61
"Gyula","Hungary",21.29,46.65
"Gyulahaza","Hungary",22.12,48.15
"Gzatsk","Russia",35,55.55
"Gzira","Malta",14.5,35.9
"Haabneeme","Estonia",24.81,59.51
"Haacht","Belgium",4.63,50.98
"Haademeeste","Estonia",24.51,58.08
"Haag","Austria",15.49,48.15
"Haage","Estonia",26.63,58.37
"Haaksbergen","Netherlands",6.73,52.16
"Haaltert","Belgium",4,50.9
"Haan","Germany",7,51.2
"Haanja","Estonia",27.05,57.72
"Haapajarvi","Finland",25.33,63.75
"Haapavesi","Finland",25.37,64.13
"Haapsalu","Estonia",23.54,58.95
"Haar","Germany",11.73,48.11
"Haarby","Denmark",10.12,55.22
"Haaren","Netherlands",5.23,51.64
"Haarlem","Netherlands",4.62,52.39
"Haarlemmermeer","Netherlands",4.7,52.3
"Habaja","Estonia",25.18,59.1
"Habartov","Czech Republic",12.54,50.2
"Habay","Belgium",5.62,49.73
"Hachiville","Luxembourg",5.92,50.1
"Haci Zeynalabdin Tagiyev","Azerbaijan",49.54,40.63
"Hacikand","Azerbaijan",46.33,40.51
"Haciqehremenli","Azerbaijan",48.92,39.88
"Haddal","Norway",5.88,62.28
"Haddington","UK",-2.79,55.96
"Haderslev","Denmark",9.48,55.26
"Hadley","UK",-2.48,52.7
"Hadrut","Azerbaijan",47.03,39.52
"Hadsten","Denmark",10.05,56.33
"Hadsund","Denmark",10.12,56.72
"Hadzici","Bosnia and Herzegovina",18.21,43.82
"Hadzidimovo","Bulgaria",23.85,41.52
"Haelen","Netherlands",5.95,51.24
"Haftoni","Azerbaijan",48.77,38.76
"Haga","Norway",5.77,60.39
"Hagavik","Norway",5.43,60.18
"Hagelsdorf","Luxembourg",6.36,49.68
"Hagen","Germany",7.46,51.37
"Hagen","Luxembourg",5.93,49.64
"Hagendorf","Switzerland",7.83,47.33
"Hageri","Estonia",24.65,59.16
"Hagglingen","Switzerland",8.25,47.38
"Hagudi","Estonia",24.2,59.07
"Hagudi","Estonia",24.82,59.07
"Haguenau","France",7.78,48.82
"Haiba","Estonia",24.47,59.13
"Haiger","Germany",8.21,50.76
"Hailsham","UK",0.27,50.87
"Hailuoto","Finland",24.72,65
"Haimre","Estonia",24.47,58.87
"Hainburg","Austria",16.94,48.15
"Hainburg","Germany",8.94,50.08
"Haj ve Slezsku","Czech Republic",18.1,49.9
"Hajdarevici","Bosnia and Herzegovina",18.26,44.46
"Hajdubagos","Hungary",21.68,47.4
"Hajduboszormeny","Hungary",21.51,47.68
"Hajdudorog","Hungary",21.5,47.82
"Hajduhadhaz","Hungary",21.67,47.69
"Hajdunanas","Hungary",21.43,47.85
"Hajdusamson","Hungary",21.76,47.6
"Hajduszoboszlo","Hungary",21.4,47.45
"Hajduszovat","Hungary",21.48,47.39
"Hajmasker","Hungary",18.02,47.15
"Hajnowka","Poland",23.58,52.73
"Hajos","Hungary",19.11,46.4
"Hakvik","Norway",17.32,68.4
"Halaszi","Hungary",17.36,47.88
"Halasztelek","Hungary",19,47.37
"Halaucesti","Romania",26.8,47.1
"Halberstadt","Germany",11.04,51.9
"Halchiu","Romania",25.55,45.77
"Halden","Norway",11.37,59.13
"Haldensleben","Germany",11.4,52.31
"Halderberge","Netherlands",4.53,51.59
"Hale","UK",-0.78,51.22
"Halen","Belgium",5.1,50.95
"Halenkov","Czech Republic",18.15,49.32
"Halenkovice","Czech Republic",17.47,49.17
"Halesowen","UK",-2.06,52.46
"Halifax","UK",-1.88,53.73
"Halikko","Finland",23.08,60.4
"Halinga","Estonia",24.53,58.59
"Haljala","Estonia",26.2,59.43
"Haljava","Estonia",25.19,59.39
"Hall","Austria",14.44,47.6
"Hallau","Switzerland",8.47,47.7
"Halle","Belgium",4.23,50.73
"Halle","Germany",8.35,52.07
"Halle","Germany",11.96,51.48
"Hallein","Austria",13.11,47.68
"Haller","Luxembourg",6.28,49.81
"Hallingby","Norway",10.2,60.27
"Halliste","Estonia",25.1,58.34
"Halluin","France",3.13,50.79
"Halmaj","Hungary",21,48.25
"Halmeu","Romania",23.02,47.97
"Halmstad","Sweden",12.86,56.67
"Hals","Denmark",10.32,57
"Halstead","UK",0.13,51.32
"Halstenbek","Germany",9.84,53.64
"Halsua","Finland",24.17,63.47
"Haltern","Germany",7.17,51.75
"Halver","Germany",7.47,51.21
"Halych","Ukraine",24.73,49.12
"Ham-sur-Heure-Nalinnes","Belgium",4.38,50.32
"Hamar","Norway",11.08,60.81
"Hamburg","Germany",10,53.55
"Hameenkoski","Finland",25.17,61
"Hameenkyro","Finland",23.2,61.63
"Hameenlinna","Finland",24.45,61
"Hameln","Germany",9.35,52.11
"Hamilton","UK",-4.03,55.77
"Hamina","Finland",27.21,60.57
"Hamiville","Luxembourg",5.9,50.04
"Hamm","Germany",7.8,51.67
"Hammarland","Finland",19.75,60.22
"Hammarsland","Norway",5.26,60.31
"Hamme","Belgium",4.13,51.1
"Hammel","Denmark",9.87,56.25
"Hammerfest","Norway",23.71,70.68
"Hammerum","Denmark",9.07,56.13
"Hamminkeln","Germany",6.57,51.74
"Hamnas","Norway",11.42,59.62
"Hamoir","Belgium",5.53,50.43
"Hamois","Belgium",5.13,50.33
"Hamont-Achel","Belgium",5.55,51.25
"Hamrun","Malta",14.48,35.89
"Han Pjesak","Bosnia and Herzegovina",18.95,44.08
"Hanau","Germany",8.91,50.14
"Handlova","Slovakia",18.76,48.73
"Hankasalmi","Finland",26.43,62.38
"Hanko","Finland",22.95,59.83
"Hannoversch Munden","Germany",9.68,51.42
"Hannut","Belgium",5.08,50.67
"Hanover","Germany",9.73,52.4
"Hansnes","Norway",19.6,69.97
"Hanstholm","Denmark",8.62,57.12
"Hanusovice","Czech Republic",16.95,50.08
"Hara","Estonia",25.64,59.56
"Harboore","Denmark",8.2,56.62
"Hard","Austria",9.68,47.48
"Hardbakke","Norway",4.85,61.08
"Hardenberg","Netherlands",6.61,52.57
"Harderwijk","Netherlands",5.63,52.35
"Hardinxveld-Giessendam","Netherlands",4.83,51.84
"Hareid","Norway",6.03,62.37
"Harelbeke","Belgium",3.3,50.85
"Haren","Germany",7.23,52.79
"Haren","Netherlands",6.6,53.17
"Harenkarspel","Netherlands",4.75,52.77
"Harestua","Norway",10.72,60.1
"Hargla","Estonia",26.4,57.61
"Harjanurme","Estonia",26.35,58.7
"Harjavalta","Finland",22.13,61.32
"Harju-Risti","Estonia",24.02,59.23
"Harkany","Hungary",18.23,45.85
"Harku","Estonia",24.37,59.13
"Harkujarve","Estonia",24.59,59.42
"Harlange","Luxembourg",5.79,49.93
"Harlau","Romania",26.91,47.44
"Harlev","Denmark",12.25,55.35
"Harlingen","Netherlands",5.44,53.18
"Harlow","UK",0.11,51.78
"Harma","Estonia",25.17,59.28
"Harmanli","Bulgaria",25.91,41.93
"Harnes","France",2.89,50.45
"Harnosand","Sweden",17.93,62.64
"Haro","Spain",-2.85,42.58
"Harpefoss","Norway",9.85,61.58
"Harpenden","UK",-0.36,51.82
"Harrachov","Czech Republic",15.42,50.77
"Harrogate","UK",-1.54,53.99
"Harsany","Hungary",20.75,47.97
"Harsewinkel","Germany",8.23,51.97
"Harsova","Romania",27.95,44.69
"Harstad","Norway",16.52,68.81
"Harta","Hungary",19.03,46.7
"Hartiesti","Romania",25.1,45.12
"Hartlepool","UK",-1.22,54.69
"Hartola","Finland",26.02,61.58
"Hartshill","UK",-1.52,51.53
"Harwich","UK",1.3,51.95
"Hasanabad","Azerbaijan",49.21,39.32
"Haskovo","Bulgaria",25.56,41.94
"Hasle","Switzerland",8.05,46.97
"Haslemere","UK",-0.7,51.08
"Haslev","Denmark",11.97,55.33
"Haslingden","UK",-2.33,53.7
"Haspra","Ukraine",34.1,44.43
"Hassel","Luxembourg",6.21,49.55
"Hasselt","Belgium",5.33,50.93
"Hassleholm","Sweden",13.76,56.16
"Hassloch","Germany",8.26,49.37
"Hastiere","Belgium",4.83,50.22
"Hastings","UK",0.57,50.86
"Hasvik","Norway",22.15,70.48
"Hat'","Czech Republic",18.25,49.95
"Hateg","Romania",22.95,45.62
"Hatfield","UK",-1.09,53.58
"Hatfield","UK",-0.23,51.77
"Hattem","Netherlands",6.07,52.48
"Hattersheim","Germany",8.48,50.08
"Hattingen","Germany",7.18,51.41
"Hatvan","Hungary",19.68,47.67
"Haubourdin","France",2.98,50.61
"Hauge","Norway",6.28,58.35
"Hauge","Norway",10.88,59.1
"Haugesund","Norway",5.27,59.42
"Haugland","Norway",5.73,60.48
"Hauho","Finland",24.55,61.17
"Haukipudas","Finland",25.35,65.19
"Haukivuori","Finland",27.22,62.02
"Hauknes","Norway",14.07,66.28
"Hausjarvi","Finland",24.93,60.78
"Haut-Martelange","Luxembourg",5.75,49.82
"Hautbellain","Luxembourg",5.97,50.15
"Hautcharage","Luxembourg",5.91,49.58
"Hautmont","France",3.91,50.26
"Havant","UK",-0.99,50.86
"Havarna","Romania",26.65,48.07
"Havdrup","Denmark",12.13,55.53
"Havelange","Belgium",5.23,50.38
"Haverfordwest","UK",-4.97,51.81
"Haverhill","UK",0.43,52.08
"Havirov","Czech Republic",18.43,49.79
"Havlickuv Brod","Czech Republic",15.58,49.61
"Havoysund","Norway",24.7,71
"Hawick","UK",-2.8,55.43
"Haxby","UK",-1.07,54.02
"Hayange","France",6.06,49.33
"Haydock","UK",-2.67,53.47
"Hayling Island","UK",-0.97,50.8
"Haysyn","Ukraine",29.4,48.81
"Hayvoron","Ukraine",29.85,48.35
"Haywards Heath","UK",-0.12,51.01
"Hazebrouck","France",2.53,50.73
"Hazel Grove and Bramhill","UK",-2.12,53.38
"Hazlemere","UK",-0.72,51.65
"Hazlov","Czech Republic",12.27,50.15
"Heanor","UK",-1.35,53.02
"Hechingen","Germany",8.96,48.36
"Hechtel-Eksel","Belgium",5.35,51.14
"Heckmondwike","UK",-1.67,53.7
"Hedensted","Denmark",9.7,55.77
"Heemskerk","Netherlands",4.63,52.5
"Heemstede","Netherlands",4.61,52.35
"Heerde","Netherlands",6.05,52.39
"Heerenveen","Netherlands",5.92,52.96
"Heerhugowaard","Netherlands",4.85,52.67
"Heerlen","Netherlands",5.97,50.88
"Heers","Belgium",5.28,50.75
"Heffingen","Luxembourg",6.24,49.76
"Heggelia","Norway",18.5,69.05
"Hegra","Norway",11.12,63.47
"Hegyeshalom","Hungary",20.03,47.52
"Heias","Norway",11.3,59.7
"Heide","Germany",9.08,54.2
"Heidelberg","Germany",8.69,49.42
"Heiden","Switzerland",9.53,47.43
"Heidenau","Germany",13.86,50.99
"Heidenheim","Germany",10.14,48.68
"Heidenreichstein","Austria",15.11,48.87
"Heiderscheid","Luxembourg",5.97,49.88
"Heiderscheid-Fond","Luxembourg",5.96,49.9
"Heilbad Heiligenstadt","Germany",10.13,51.38
"Heilbronn","Germany",9.22,49.14
"Heiligenhaus","Germany",6.96,51.32
"Heimberg","Switzerland",7.61,46.79
"Heimtali","Estonia",25.51,58.32
"Heinavesi","Finland",28.6,62.43
"Heinerscheid","Luxembourg",6.08,50.09
"Heinola","Finland",26.03,61.21
"Heinsberg","Germany",6.09,51.07
"Heisdorf","Luxembourg",6.14,49.66
"Heispelt","Luxembourg",5.88,49.85
"Heist-op-den-Berg","Belgium",4.72,51.08
"Hejnice","Czech Republic",15.2,50.89
"Hejobaba","Hungary",20.95,47.9
"Hel'myaziv","Ukraine",31.35,49.82
"Helegiu","Romania",26.75,46.35
"Helensburgh","UK",-4.73,56.02
"Helgeroa-Nevlunghamn","Norway",9.85,59
"Hell","Norway",10.9,63.43
"Hellamaa","Estonia",23.32,58.61
"Hellange","Luxembourg",6.15,49.5
"Hellebaek","Denmark",12.57,56.07
"Hellenurme","Estonia",26.39,58.14
"Hellin","Spain",-1.7,38.51
"Hellvik","Norway",5.9,58.48
"Helmdange","Luxembourg",6.14,49.69
"Helme","Estonia",25.9,58.01
"Helmsange","Luxembourg",6.14,49.65
"Helmstedt","Germany",11,52.23
"Helsingborg","Sweden",12.7,56.05
"Helsinge","Denmark",12.2,56.02
"Helsingor","Denmark",12.6,56.04
"Helsinki","Finland",24.94,60.17
"Helston","UK",-0.05,53.78
"Helvecia","Hungary",19.63,46.83
"Hem","France",3.19,50.66
"Hemel Hempstead","UK",-0.48,51.76
"Hemer","Germany",7.76,51.39
"Hemiksem","Belgium",4.35,51.15
"Hemmingen","Germany",9.74,52.32
"Hemnes","Norway",11.47,59.72
"Hemnesberget","Norway",13.63,66.23
"Hemsedal","Norway",8.57,60.87
"Hemstal","Luxembourg",6.33,49.73
"Hemsworth","UK",-1.35,53.6
"Hendaye","France",-1.77,43.37
"Henggart","Switzerland",8.68,47.55
"Heniches'k","Ukraine",34.81,46.18
"Henin-Beaumont","France",2.93,50.41
"Henley-on-Thames","UK",-0.9,51.53
"Henlow-Shefford","UK",-0.28,52.02
"Hennebont","France",-3.26,47.82
"Hennef","Germany",7.28,50.78
"Hennigsdorf","Germany",13.21,52.64
"Henningsvaer","Norway",14.22,68.15
"Hensies","Belgium",3.67,50.43
"Henstedt-Ulzburg","Germany",9.99,53.78
"Heorhiyivka","Ukraine",39.25,48.42
"Heppenheim","Germany",8.63,49.65
"Heradsbygd","Norway",11.63,60.82
"Herbeumont","Belgium",5.23,49.78
"Herblay","France",2.16,49
"Herborn","Germany",8.31,50.69
"Herborn","Luxembourg",6.42,49.74
"Hercegovac","Croatia",17.01,45.66
"Hercegszanto","Hungary",18.94,45.94
"Herdecke","Germany",7.43,51.4
"Hered","Hungary",19.63,47.7
"Hereford","UK",-2.73,52.06
"Herencia","Spain",-3.37,39.35
"Herend","Hungary",17.75,47.13
"Herent","Belgium",4.67,50.9
"Herentals","Belgium",4.83,51.18
"Herenthout","Belgium",4.77,51.15
"Herford","Germany",8.67,52.12
"Hergiswil","Switzerland",8.32,46.99
"Hericourt","France",6.74,47.58
"Herisau","Switzerland",9.28,47.4
"Herk-de-Stad","Belgium",5.17,50.93
"Hermagor","Austria",13.36,46.62
"Hermanova Hut'","Czech Republic",13.08,49.72
"Hermansverk-Leikanger","Norway",6.78,61.19
"Hermanuv Mestec","Czech Republic",15.67,49.96
"Hermiswil","Switzerland",7.47,46.83
"Hernad","Hungary",19.44,47.17
"Hernadnemeti","Hungary",20.98,48.08
"Hernani","Spain",-1.97,43.27
"Herne","Belgium",4.03,50.72
"Herne","Germany",7.21,51.54
"Herne Bay","UK",1.11,51.37
"Herning","Denmark",8.97,56.13
"Heron","Belgium",5.1,50.55
"Herouville-Saint-Clair","France",-0.34,49.21
"Heroysund","Norway",5.79,59.92
"Herre","Norway",9.57,59.1
"Herrenberg","Germany",8.86,48.6
"Herrliberg","Switzerland",8.62,47.29
"Hersberg-Kobenbour-Graulinster-Blumenthal","Luxembourg",6.32,49.75
"Herselt","Belgium",4.88,51.05
"Herstal","Belgium",5.63,50.67
"Herstappe","Belgium",5.42,50.73
"Herten","Germany",7.21,51.59
"Hertford","UK",-0.09,51.8
"Hertu","Estonia",24.88,58.97
"Herve","Belgium",5.8,50.63
"Herzberg","Germany",10.33,51.66
"Herzebrock-Clarholz","Germany",8.24,51.89
"Herzele","Belgium",3.88,50.88
"Herzogenaurach","Germany",10.88,49.57
"Herzogenbuchsee","Switzerland",7.7,47.19
"Herzogenburg","Austria",15.68,48.27
"Herzogenrath","Germany",6.09,50.87
"Hesperange","Luxembourg",6.15,49.57
"Hesseng","Norway",29.99,69.68
"Hessisch Oldendorf","Germany",9.24,52.18
"Hestvika","Norway",9.18,63.57
"Heswall","UK",-3.08,53.32
"Hettlingen","Switzerland",8.7,47.55
"Hetton-le-Hole","UK",-1.45,54.82
"Hettstedt","Germany",11.5,51.65
"Heusden-Zolder","Belgium",5.26,51.03
"Heusenstamm","Germany",8.79,50.07
"Heusweiler","Germany",6.93,49.35
"Heves","Hungary",20.29,47.6
"Heviz","Hungary",17.18,46.79
"Hevizgyork","Hungary",19.52,47.63
"Hevlin","Czech Republic",16.38,48.75
"Hexham","UK",-2.1,54.97
"Heywood","UK",-2.22,53.59
"Hidas","Hungary",18.51,46.26
"Hiddenhausen","Germany",8.61,52.17
"Hierheck","Luxembourg",5.93,49.87
"High Wycombe","UK",-0.78,51.64
"Hilchenbach","Germany",8.09,50.99
"Hilden","Germany",6.93,51.18
"Hildesheim","Germany",9.95,52.16
"Hildisrieden","Switzerland",8.23,47.15
"Hille","Germany",8.74,52.34
"Hillerod","Denmark",12.3,55.93
"Hillestad","Norway",9.67,59.58
"Hilterfingen","Switzerland",7.65,46.73
"Himanka","Finland",23.65,64.07
"Himare","Albania",19.74,40.13
"Himberg","Austria",16.43,48.08
"Himma","Estonia",27.06,57.99
"Himmaste","Estonia",27.07,58.08
"Hincesti","Moldova",28.87,47.7
"Hinckley","UK",-1.37,52.54
"Hindelbank","Switzerland",7.53,47.03
"Hindley","UK",-2.59,53.54
"Hinkel","Luxembourg",6.51,49.77
"Hinnerup","Denmark",10.07,56.27
"Hinojosa del Duque","Spain",-5.15,38.5
"Hinwil","Switzerland",8.84,47.31
"Hirs'ke","Ukraine",38.5,48.74
"Hirson","France",4.08,49.93
"Hirtshals","Denmark",9.96,57.59
"Hirvensalmi","Finland",26.8,61.63
"Hirzel","Switzerland",8.6,47.22
"Hisarja","Bulgaria",24.71,42.51
"Hitchin","UK",-0.28,51.96
"Hittnau","Switzerland",8.83,47.37
"Hitzkirch","Switzerland",8.27,47.23
"Hivange","Luxembourg",5.93,49.6
"Hjallerup","Denmark",10.15,57.17
"Hjelset","Norway",7.48,62.78
"Hjorring","Denmark",9.98,57.46
"Hjortshoj","Denmark",10.27,56.25
"Hjukse","Norway",9.32,59.52
"Hlebine","Croatia",16.96,46.16
"Hlevakha","Ukraine",30.33,50.28
"Hlinsko","Czech Republic",15.9,49.77
"Hlobyne","Ukraine",33.28,49.38
"Hlohovec","Slovakia",17.8,48.44
"Hlubocky","Czech Republic",17.4,49.63
"Hluboka nad Vltavou","Czech Republic",14.43,49.05
"Hlucin","Czech Republic",18.17,49.9
"Hluk","Czech Republic",17.53,48.98
"Hlukhiv","Ukraine",33.92,51.68
"Hlyboka","Ukraine",25.92,48.09
"Hlybokyy Potik","Ukraine",23.88,48.05
"Hnivan'","Ukraine",28.33,49.1
"Hnust'a","Slovakia",19.95,48.57
"Hobro","Denmark",9.8,56.63
"Hobscheid","Luxembourg",5.91,49.68
"Hochdorf","Switzerland",8.29,47.17
"Hochheim","Germany",8.35,50.02
"Hochst","Austria",9.63,47.47
"Hockenheim","Germany",8.55,49.33
"Hockley","UK",-1.92,52.5
"Hodac","Romania",24.92,46.77
"Hodasz","Hungary",22.21,47.94
"Hoddesdon","UK",-0.02,51.76
"Hodkovice nad Mohelkou","Czech Republic",15.09,50.66
"Hodmezovasarhely","Hungary",20.32,46.42
"Hodonice","Czech Republic",16.17,48.83
"Hodonin","Czech Republic",17.13,48.87
"Hodosan","Croatia",16.64,46.4
"Hodslavice","Czech Republic",18.03,49.53
"Hoegaarden","Belgium",4.9,50.78
"Hoeilaart","Belgium",4.47,50.77
"Hoenheim","France",7.75,48.63
"Hoesdorf","Luxembourg",6.25,49.88
"Hoeselt","Belgium",5.48,50.85
"Hof","Germany",11.9,50.32
"Hof","Norway",12.02,60.55
"Hoffelt","Luxembourg",5.92,50.09
"Hofgeismar","Germany",9.38,51.5
"Hofheim","Germany",8.43,50.09
"Hoganas","Sweden",12.55,56.2
"Hoghiz","Romania",25.3,45.98
"Hogyesz","Hungary",18.42,46.48
"Hohen Neuendorf","Germany",13.27,52.67
"Hohenems","Austria",9.68,47.37
"Hohenrain","Switzerland",8.32,47.18
"Hohenstein-Ernstthal","Germany",12.71,50.81
"Hoholiv","Ukraine",31.02,50.51
"Hojby","Denmark",10.43,55.34
"Hojslev","Denmark",9.15,56.58
"Hokmeli","Azerbaijan",49.74,40.43
"Hol'movs'ke","Ukraine",38.08,48.4
"Hola Prystan'","Ukraine",32.53,46.52
"Holasovice","Czech Republic",17.82,50
"Holbaek","Denmark",11.71,55.72
"Holboca","Romania",27.7,47.15
"Hole","Norway",6,58.88
"Holeby","Denmark",11.47,54.72
"Holen","Norway",10.74,59.54
"Holesov","Czech Republic",17.58,49.34
"Holevik","Norway",5.08,61.93
"Holic","Slovakia",17.16,48.82
"Holice","Czech Republic",15.98,50.08
"Hollabrunn","Austria",16.09,48.56
"Hollen","Norway",7.82,58.08
"Hollenfels","Luxembourg",6.05,49.71
"Holler","Luxembourg",6.04,50.12
"Hollola","Finland",25.43,61.05
"Holme","Norway",5.16,59.65
"Holmestrand","Norway",10.31,59.5
"Holmfirth-Honley","UK",-1.79,53.58
"Holmsbu","Norway",10.43,59.56
"Holoby","Ukraine",25.02,51.08
"Holoubkov","Czech Republic",13.7,49.78
"Holovanivs'k","Ukraine",30.46,48.38
"Holsbeek","Belgium",4.75,50.92
"Holstebro","Denmark",8.62,56.36
"Holsted","Denmark",8.92,55.5
"Holstein","Switzerland",7.77,47.42
"Holstre","Estonia",25.7,58.27
"Holtz","Luxembourg",5.79,49.8
"Holvandi","Estonia",27.21,58.05
"Holyhead","UK",-4.63,53.3
"Holyn'","Ukraine",24.25,49.02
"Holysov","Czech Republic",13.1,49.6
"Holywood","UK",-5.82,54.63
"Holzem","Luxembourg",5.99,49.61
"Holzkirchen","Germany",11.69,47.88
"Holzminden","Germany",9.45,51.83
"Holzthum","Luxembourg",6.07,49.98
"Holzwickede","Germany",7.63,51.5
"Homberg","Germany",9.4,51.04
"Hombourg-Haut","France",6.78,49.12
"Hombrechtikon","Switzerland",8.77,47.26
"Homburg","Germany",7.33,49.33
"Hommelvik","Norway",10.8,63.42
"Hommersak","Norway",5.85,58.93
"Homocea","Romania",27.23,46.13
"Hondarribia","Spain",-1.8,43.37
"Honefoss","Norway",10.23,60.19
"Hong","Denmark",11.3,55.52
"Honiton","UK",-3.2,50.81
"Honkajoki","Finland",21.53,61.83
"Honningsvag","Norway",25.98,70.98
"Hooglede","Belgium",3.08,50.98
"Hoogstraten","Belgium",4.77,51.4
"Hopfgarten","Austria",12.16,47.46
"Horadiz","Azerbaijan",47.34,39.45
"Horazd'ovice","Czech Republic",13.71,49.32
"Horb","Germany",8.68,48.44
"Horbranz","Austria",9.75,47.55
"Horbury","UK",-1.55,53.67
"Horezu","Romania",24.01,45.15
"Horgen","Switzerland",8.6,47.27
"Horgesti","Romania",27.07,46.43
"Horgos","Serbia",19.97,46.16
"Horia","Romania",26.93,46.9
"Horice","Czech Republic",15.63,50.37
"Horizonte","Brazil",-38.49,-4.1
"Horjul","Slovenia",14.3,46.02
"Horka nad Moravou","Czech Republic",17.2,49.65
"Horlivka","Ukraine",38.05,48.3
"Horn","Austria",15.65,48.67
"Horn","Switzerland",9.47,47.48
"Horn-Bad Meinberg","Germany",8.94,51.87
"Hornbaek","Denmark",12.47,56.08
"Horni Becva","Czech Republic",18.28,49.43
"Horni Benesov","Czech Republic",17.6,49.97
"Horni Bludovice","Czech Republic",18.43,49.75
"Horni Branna","Czech Republic",15.58,50.6
"Horni Briza","Czech Republic",13.37,49.83
"Horni Cerekev","Czech Republic",15.33,49.32
"Horni Jeleni","Czech Republic",16.1,50.05
"Horni Jiretin","Czech Republic",13.57,50.57
"Horni Lidec","Czech Republic",18.07,49.18
"Horni Mostenice","Czech Republic",17.47,49.42
"Horni Plana","Czech Republic",14.03,48.77
"Horni Slavkov","Czech Republic",12.8,50.15
"Horni Stropnice","Czech Republic",14.73,48.77
"Horni Sucha","Czech Republic",18.5,49.8
"Horning","Denmark",10.04,56.08
"Hornostayivka","Ukraine",33.73,47.02
"Hornslet","Denmark",10.33,56.32
"Horodenka","Ukraine",25.5,48.67
"Horodkivka","Ukraine",28.7,48.38
"Horodnicu","Romania",25.85,47.87
"Horodnya","Ukraine",31.6,51.88
"Horodnye","Ukraine",28.83,45.9
"Horodnytsya","Ukraine",27.32,50.8
"Horodok","Ukraine",23.65,49.78
"Horodok","Ukraine",26.57,49.17
"Horodyshche","Ukraine",31.45,49.3
"Horokhiv","Ukraine",24.77,50.5
"Horomerice","Czech Republic",14.33,50.13
"Horovice","Czech Republic",13.9,49.85
"Horsching","Austria",14.17,48.23
"Horsens","Denmark",9.84,55.86
"Horsforth","UK",-1.63,53.83
"Horsham","UK",-0.33,51.07
"Horsholm","Denmark",12.5,55.88
"Horsovsky Tyn","Czech Republic",12.95,49.54
"Horstel","Germany",7.57,52.32
"Hort","Hungary",19.78,47.7
"Horten","Norway",10.47,59.42
"Hortobagy","Hungary",21.17,47.58
"Hortolandia","Brazil",-47.26,-22.85
"Horuphav","Denmark",9.9,54.92
"Horvati","Croatia",15.82,45.7
"Horve","Denmark",11.47,55.75
"Horw","Switzerland",8.3,47.02
"Horwich","UK",-2.55,53.6
"Hoscheid","Luxembourg",6.08,49.94
"Hoscheid-Dickt","Luxembourg",6.09,49.97
"Hoshcha","Ukraine",26.67,50.6
"Hosingen","Luxembourg",6.09,50.01
"Hosszuheteny","Hungary",18.35,46.15
"Hosszupalyi","Hungary",21.74,47.4
"Host'alkova","Czech Republic",17.88,49.35
"Hosteradice","Czech Republic",16.25,48.95
"Hostert","Luxembourg",6.24,49.65
"Hostert","Luxembourg",5.86,49.81
"Hostinne","Czech Republic",15.73,50.55
